company_id,stock_code,stock_name,exchange,industry,listing_status,aliases,raw,created_at,updated_at
co_094ec286c44238aef99b3c41,000063,中兴通讯,SZSE,,,"[""中兴通讯：2025年年度报告"", ""中兴通讯""]","{""filename"": ""中兴通讯：2025年年度报告.pdf"", ""inferred_from"": ""filename""}",2026-05-16 03:51:28.331353+00,2026-05-16 05:43:12.500706+00
co_2547eab1eb825fd04ae249bf,688981,中芯国际,,,,"[""中芯国际：中芯国际2025年年度报告"", ""中芯国际""]","{""filename"": ""中芯国际：中芯国际2025年年度报告.pdf"", ""inferred_from"": ""filename""}",2026-05-16 03:50:57.638865+00,2026-05-16 05:43:12.500706+00
co_295bede75875e946ebc3cf29,002252,上海莱士,,,,"[""上海莱士"", ""上海莱士：2025年年度报告""]","{""filename"": ""上海莱士：2025年年度报告.pdf"", ""inferred_from"": ""filename""}",2026-05-16 03:51:19.949586+00,2026-05-16 05:43:12.500706+00
co_29ecd679d7eb27d4eba43fc0,600176,中国巨石,,,,"[""中国巨石"", ""中国巨石：中国巨石2025年年度报告""]","{""filename"": ""中国巨石：中国巨石2025年年度报告.pdf"", ""inferred_from"": ""filename""}",2026-05-16 03:51:09.746469+00,2026-05-16 05:43:12.500706+00
co_34ff14fd5e430be6a320a6d1,002660,茂硕电源,,,,"[""茂硕电源：2025年年度报告"", ""茂硕电源""]","{""filename"": ""茂硕电源：2025年年度报告.pdf"", ""inferred_from"": ""filename""}",2026-05-16 03:49:11.688778+00,2026-05-16 05:43:12.500706+00
co_3885f5fda9feb2bc5d5ca667,600580,卧龙电驱,,,,"[""卧龙电驱"", ""卧龙电驱：卧龙电驱2025年年度报告""]","{""filename"": ""卧龙电驱：卧龙电驱2025年年度报告.pdf"", ""inferred_from"": ""filename""}",2026-05-16 03:50:41.995948+00,2026-05-16 05:43:12.500706+00
co_4d4949deacdbf7af7d6e2a7d,601727,上海电气,,,,"[""上海电气：上海电气2025年年度报告"", ""上海电气""]","{""filename"": ""上海电气：上海电气2025年年度报告.pdf"", ""inferred_from"": ""filename""}",2026-05-16 03:51:10.826488+00,2026-05-16 05:43:12.500706+00
co_5f87ec12134a29232a99e892,600486,扬农化工,SSE,,,"[""扬农化工"", ""扬农化工：2025年年度报告""]","{""filename"": ""扬农化工：2025年年度报告.pdf"", ""inferred_from"": ""filename""}",2026-05-16 03:51:26.637327+00,2026-05-16 05:43:12.500706+00
co_6fa84e55d8f29a4c1a340c2d,601336,新华保险,,,,"[""新华保险：新华保险2025年年度报告"", ""新华保险""]","{""filename"": ""新华保险：新华保险2025年年度报告.pdf"", ""inferred_from"": ""filename""}",2026-05-16 03:50:45.088193+00,2026-05-16 05:43:12.500706+00
co_70a76d7dd085f769a7f97dc9,601528,瑞丰银行,,,,"[""瑞丰银行"", ""瑞丰银行：浙江绍兴瑞丰农村商业银行股份有限公司2025年年度报告""]","{""filename"": ""瑞丰银行：浙江绍兴瑞丰农村商业银行股份有限公司2025年年度报告.pdf"", ""inferred_from"": ""filename""}",2026-05-16 03:50:45.370229+00,2026-05-16 05:43:12.500706+00
