filing_id,company_id,task_id,report_year,report_period,report_type,title,announcement_date,source_url,pdf_path,pdf_sha256,is_latest,raw,created_at,updated_at
filing_09bd06b87123761c54407983,co_7f01bcf3af8d6013d7680a22,7c3ae503-f78d-442e-b391-3eadf4fda17e,2025,FY,annual_report,工商银行：工商银行2025年度报告.pdf,,/api/artifact/7c3ae503-f78d-442e-b391-3eadf4fda17e/document_full.json,,,f,"{""filename"": ""工商银行：工商银行2025年度报告.pdf"", ""source_files"": {""pdf"": null, ""markdown"": {""url"": ""/api/artifact/7c3ae503-f78d-442e-b391-3eadf4fda17e/result.md"", ""kind"": ""markdown"", ""path"": ""/home/maoyd/pdf2md_web/results/7c3ae503-f78d-442e-b391-3eadf4fda17e/result.md"", ""mtime"": ""2026-05-08T15:59:03.950174+00:00"", ""exists"": true, ""size_bytes"": 1329811}, ""complete_markdown"": {""url"": ""/api/artifact/7c3ae503-f78d-442e-b391-3eadf4fda17e/result_complete.md"", ""kind"": ""markdown"", ""path"": ""/home/maoyd/pdf2md_web/results/7c3ae503-f78d-442e-b391-3eadf4fda17e/result_complete.md"", ""mtime"": ""2026-05-09T06:13:54.182184+00:00"", ""exists"": true, ""size_bytes"": 1380100}}}",2026-05-16 03:51:04.847043+00,2026-05-16 03:51:04.847043+00
filing_143c34f484aa8cf62d09426b,co_f908e0934f814264d6ca6e78,f0b7c568-feb1-4716-a09e-3199af7651fa,2025,FY,annual_report,舍得酒业：舍得酒业2025年年度报告.pdf,,/api/artifact/f0b7c568-feb1-4716-a09e-3199af7651fa/document_full.json,,,f,"{""filename"": ""舍得酒业：舍得酒业2025年年度报告.pdf"", ""source_files"": {""pdf"": null, ""markdown"": {""url"": ""/api/artifact/f0b7c568-feb1-4716-a09e-3199af7651fa/result.md"", ""kind"": ""markdown"", ""path"": ""/home/maoyd/pdf2md_web/results/f0b7c568-feb1-4716-a09e-3199af7651fa/result.md"", ""mtime"": ""2026-05-09T00:25:18.654911+00:00"", ""exists"": true, ""size_bytes"": 828672}, ""complete_markdown"": {""url"": ""/api/artifact/f0b7c568-feb1-4716-a09e-3199af7651fa/result_complete.md"", ""kind"": ""markdown"", ""path"": ""/home/maoyd/pdf2md_web/results/f0b7c568-feb1-4716-a09e-3199af7651fa/result_complete.md"", ""mtime"": ""2026-05-09T06:18:57.071890+00:00"", ""exists"": true, ""size_bytes"": 863748}}}",2026-05-16 03:51:35.16849+00,2026-05-16 03:51:35.16849+00
filing_1fb69fc2b0b1f17012ea09b5,co_29ecd679d7eb27d4eba43fc0,8e4b4f51-5241-4fb4-be3e-c7edd33b7cad,2025,FY,annual_report,中国巨石：中国巨石2025年年度报告.pdf,,/api/artifact/8e4b4f51-5241-4fb4-be3e-c7edd33b7cad/document_full.json,,,f,"{""filename"": ""中国巨石：中国巨石2025年年度报告.pdf"", ""source_files"": {""pdf"": null, ""markdown"": {""url"": ""/api/artifact/8e4b4f51-5241-4fb4-be3e-c7edd33b7cad/result.md"", ""kind"": ""markdown"", ""path"": ""/home/maoyd/pdf2md_web/results/8e4b4f51-5241-4fb4-be3e-c7edd33b7cad/result.md"", ""mtime"": ""2026-05-08T11:52:23.087748+00:00"", ""exists"": true, ""size_bytes"": 907069}, ""complete_markdown"": {""url"": ""/api/artifact/8e4b4f51-5241-4fb4-be3e-c7edd33b7cad/result_complete.md"", ""kind"": ""markdown"", ""path"": ""/home/maoyd/pdf2md_web/results/8e4b4f51-5241-4fb4-be3e-c7edd33b7cad/result_complete.md"", ""mtime"": ""2026-05-09T06:14:51.927107+00:00"", ""exists"": true, ""size_bytes"": 943966}}}",2026-05-16 03:51:09.746469+00,2026-05-16 03:51:09.746469+00
filing_283cc29932a95ef7c879a3e6,co_c0a554630fda5fa6acf242ee,7f80cc1c-1533-4a52-857d-8b9c6f7c7009,2025,FY,annual_report,海尔智家：海尔智家股份有限公司2025年年度报告.pdf,,/api/artifact/7f80cc1c-1533-4a52-857d-8b9c6f7c7009/document_full.json,,,f,"{""filename"": ""海尔智家：海尔智家股份有限公司2025年年度报告.pdf"", ""source_files"": {""pdf"": null, ""markdown"": {""url"": ""/api/artifact/7f80cc1c-1533-4a52-857d-8b9c6f7c7009/result.md"", ""kind"": ""markdown"", ""path"": ""/home/maoyd/pdf2md_web/results/7f80cc1c-1533-4a52-857d-8b9c6f7c7009/result.md"", ""mtime"": ""2026-05-08T16:38:56.093367+00:00"", ""exists"": true, ""size_bytes"": 1134067}, ""complete_markdown"": {""url"": ""/api/artifact/7f80cc1c-1533-4a52-857d-8b9c6f7c7009/result_complete.md"", ""kind"": ""markdown"", ""path"": ""/home/maoyd/pdf2md_web/results/7f80cc1c-1533-4a52-857d-8b9c6f7c7009/result_complete.md"", ""mtime"": ""2026-05-09T06:14:03.122186+00:00"", ""exists"": true, ""size_bytes"": 1171004}}}",2026-05-16 03:51:05.636173+00,2026-05-16 03:51:05.636173+00
filing_2da0572331946c2c77eeac14,co_4d4949deacdbf7af7d6e2a7d,9292da4e-0081-4378-81a1-685fad02d5a9,2025,FY,annual_report,上海电气：上海电气2025年年度报告.pdf,,/api/artifact/9292da4e-0081-4378-81a1-685fad02d5a9/document_full.json,,,f,"{""filename"": ""上海电气：上海电气2025年年度报告.pdf"", ""source_files"": {""pdf"": null, ""markdown"": {""url"": ""/api/artifact/9292da4e-0081-4378-81a1-685fad02d5a9/result.md"", ""kind"": ""markdown"", ""path"": ""/home/maoyd/pdf2md_web/results/9292da4e-0081-4378-81a1-685fad02d5a9/result.md"", ""mtime"": ""2026-05-08T10:31:57.832841+00:00"", ""exists"": true, ""size_bytes"": 809957}, ""complete_markdown"": {""url"": ""/api/artifact/9292da4e-0081-4378-81a1-685fad02d5a9/result_complete.md"", ""kind"": ""markdown"", ""path"": ""/home/maoyd/pdf2md_web/results/9292da4e-0081-4378-81a1-685fad02d5a9/result_complete.md"", ""mtime"": ""2026-05-09T06:15:04.078054+00:00"", ""exists"": true, ""size_bytes"": 836410}}}",2026-05-16 03:51:10.826488+00,2026-05-16 03:51:10.826488+00
filing_31d47e357c553bbac91518fc,co_5f87ec12134a29232a99e892,cc54d88c-dcf9-4122-968b-9d7648876b79,2025,FY,annual_report,扬农化工：2025年年度报告.pdf,,/api/artifact/cc54d88c-dcf9-4122-968b-9d7648876b79/document_full.json,,,f,"{""filename"": ""扬农化工：2025年年度报告.pdf"", ""source_files"": {""pdf"": null, ""markdown"": {""url"": ""/api/artifact/cc54d88c-dcf9-4122-968b-9d7648876b79/result.md"", ""kind"": ""markdown"", ""path"": ""/home/maoyd/pdf2md_web/results/cc54d88c-dcf9-4122-968b-9d7648876b79/result.md"", ""mtime"": ""2026-05-08T07:18:32.986125+00:00"", ""exists"": true, ""size_bytes"": 796054}, ""complete_markdown"": {""url"": ""/api/artifact/cc54d88c-dcf9-4122-968b-9d7648876b79/result_complete.md"", ""kind"": ""markdown"", ""path"": ""/home/maoyd/pdf2md_web/results/cc54d88c-dcf9-4122-968b-9d7648876b79/result_complete.md"", ""mtime"": ""2026-05-09T06:17:27.557931+00:00"", ""exists"": true, ""size_bytes"": 828458}}}",2026-05-16 03:51:26.637327+00,2026-05-16 03:51:26.637327+00
filing_35df7e004765d658a27f5af3,co_6fa84e55d8f29a4c1a340c2d,22ec7e69-31c4-487e-a8c9-0de4f0b43d6b,2025,FY,annual_report,新华保险：新华保险2025年年度报告.pdf,,/api/artifact/22ec7e69-31c4-487e-a8c9-0de4f0b43d6b/document_full.json,,,f,"{""filename"": ""新华保险：新华保险2025年年度报告.pdf"", ""source_files"": {""pdf"": null, ""markdown"": {""url"": ""/api/artifact/22ec7e69-31c4-487e-a8c9-0de4f0b43d6b/result.md"", ""kind"": ""markdown"", ""path"": ""/home/maoyd/pdf2md_web/results/22ec7e69-31c4-487e-a8c9-0de4f0b43d6b/result.md"", ""mtime"": ""2026-05-09T03:39:17.287858+00:00"", ""exists"": true, ""size_bytes"": 1146353}, ""complete_markdown"": {""url"": ""/api/artifact/22ec7e69-31c4-487e-a8c9-0de4f0b43d6b/result_complete.md"", ""kind"": ""markdown"", ""path"": ""/home/maoyd/pdf2md_web/results/22ec7e69-31c4-487e-a8c9-0de4f0b43d6b/result_complete.md"", ""mtime"": ""2026-05-09T06:10:48.355937+00:00"", ""exists"": true, ""size_bytes"": 1208276}}}",2026-05-16 03:50:45.088193+00,2026-05-16 03:50:47.273018+00
filing_3c67eb7c3e77f1c7095c5f1a,co_a656c6ab636691ac88d4b194,feee329b-01dc-499e-8863-749b9e2e5d6e,2025,FY,annual_report,华数传媒：2025年年度报告.pdf,,/api/artifact/feee329b-01dc-499e-8863-749b9e2e5d6e/document_full.json,,,f,"{""filename"": ""华数传媒：2025年年度报告.pdf"", ""source_files"": {""pdf"": null, ""markdown"": {""url"": ""/api/artifact/feee329b-01dc-499e-8863-749b9e2e5d6e/result.md"", ""kind"": ""markdown"", ""path"": ""/home/maoyd/pdf2md_web/results/feee329b-01dc-499e-8863-749b9e2e5d6e/result.md"", ""mtime"": ""2026-05-08T19:29:02.379248+00:00"", ""exists"": true, ""size_bytes"": 642714}, ""complete_markdown"": {""url"": ""/api/artifact/feee329b-01dc-499e-8863-749b9e2e5d6e/result_complete.md"", ""kind"": ""markdown"", ""path"": ""/home/maoyd/pdf2md_web/results/feee329b-01dc-499e-8863-749b9e2e5d6e/result_complete.md"", ""mtime"": ""2026-05-09T06:19:42.837784+00:00"", ""exists"": true, ""size_bytes"": 669066}}}",2026-05-16 03:51:40.808227+00,2026-05-16 03:51:40.808227+00
filing_4c0f273a4c7c61597deff346,co_70a76d7dd085f769a7f97dc9,1bfff2c9-bbbe-47fb-a5d5-a0252392a742,2025,FY,annual_report,瑞丰银行：浙江绍兴瑞丰农村商业银行股份有限公司2025年年度报告.pdf,,/api/artifact/1bfff2c9-bbbe-47fb-a5d5-a0252392a742/document_full.json,,,f,"{""filename"": ""瑞丰银行：浙江绍兴瑞丰农村商业银行股份有限公司2025年年度报告.pdf"", ""source_files"": {""pdf"": null, ""markdown"": {""url"": ""/api/artifact/1bfff2c9-bbbe-47fb-a5d5-a0252392a742/result.md"", ""kind"": ""markdown"", ""path"": ""/home/maoyd/pdf2md_web/results/1bfff2c9-bbbe-47fb-a5d5-a0252392a742/result.md"", ""mtime"": ""2026-05-07T10:59:57.716365+00:00"", ""exists"": true, ""size_bytes"": 1282975}, ""complete_markdown"": {""url"": ""/api/artifact/1bfff2c9-bbbe-47fb-a5d5-a0252392a742/result_complete.md"", ""kind"": ""markdown"", ""path"": ""/home/maoyd/pdf2md_web/results/1bfff2c9-bbbe-47fb-a5d5-a0252392a742/result_complete.md"", ""mtime"": ""2026-05-09T06:10:32.399343+00:00"", ""exists"": true, ""size_bytes"": 1327741}}}",2026-05-16 03:50:45.370229+00,2026-05-16 03:50:45.370229+00
filing_4edc8b7f7e0e061e327b2a3e,co_8c2edb1078803bed3db84e4f,5bf87bcd-5ff1-4c82-aba4-4bbe057e6450,2025,FY,annual_report,东港股份：2025年年度报告.pdf,,/api/artifact/5bf87bcd-5ff1-4c82-aba4-4bbe057e6450/document_full.json,,,f,"{""filename"": ""东港股份：2025年年度报告.pdf"", ""source_files"": {""pdf"": null, ""markdown"": {""url"": ""/api/artifact/5bf87bcd-5ff1-4c82-aba4-4bbe057e6450/result.md"", ""kind"": ""markdown"", ""path"": ""/home/maoyd/pdf2md_web/results/5bf87bcd-5ff1-4c82-aba4-4bbe057e6450/result.md"", ""mtime"": ""2026-05-07T09:57:59.828080+00:00"", ""exists"": true, ""size_bytes"": 410438}, ""complete_markdown"": {""url"": ""/api/artifact/5bf87bcd-5ff1-4c82-aba4-4bbe057e6450/result_complete.md"", ""kind"": ""markdown"", ""path"": ""/home/maoyd/pdf2md_web/results/5bf87bcd-5ff1-4c82-aba4-4bbe057e6450/result_complete.md"", ""mtime"": ""2026-05-09T06:12:36.286876+00:00"", ""exists"": true, ""size_bytes"": 431190}}}",2026-05-16 03:50:57.427278+00,2026-05-16 03:50:57.427278+00
