task_id,footnote_index,page_number,markdown_line,text,raw,imported_at
00113ac5-d12a-402a-b709-a2db02eea12c,141,,,按组合计提坏账准备：合并范围内关联往来组合,"{""line"": null, ""text"": ""按组合计提坏账准备：合并范围内关联往来组合"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 244, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,14,,1382,8)MOSO VIETNAM ELECTRONICS COMPANY LIMITED 与越南善邻责任有限公司签订租赁合同，租赁地址为 Lot D4，ChauSon Industrial Park，Chau Son Ward，Phu Ly City，Ha Nam Province；租期从 2025 年 5 月 1 日至 2025 年 12 月 31日止；,"{""line"": 1382, ""text"": ""8)MOSO VIETNAM ELECTRONICS COMPANY LIMITED 与越南善邻责任有限公司签订租赁合同，租赁地址为 Lot D4，ChauSon Industrial Park，Chau Son Ward，Phu Ly City，Ha Nam Province；租期从 2025 年 5 月 1 日至 2025 年 12 月 31日止；"", ""source"": ""markdown_line"", ""pdf_page_number"": 85, ""pdf_page_source"": ""markdown_marker_inferred"", ""pdf_page_inference_reason"": ""between_ordered_markers""}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,13,,1381,7）润硕科技有限公司与深圳市荣信兴物业管理有限公司签订房屋租赁合同，租赁地址为宝安新安街道办东二路南侧七十一区工业厂房 D段 E幢三层 301房屋，租期至 2025年 6月 30日止；与逸美德科技股份有限公司签订房屋租赁合同，租赁地址为江苏省苏州市苏州工业园双溇里 15号一层西侧车间，租期至 2025年 11月 19日止；,"{""line"": 1381, ""text"": ""7）润硕科技有限公司与深圳市荣信兴物业管理有限公司签订房屋租赁合同，租赁地址为宝安新安街道办东二路南侧七十一区工业厂房 D段 E幢三层 301房屋，租期至 2025年 6月 30日止；与逸美德科技股份有限公司签订房屋租赁合同，租赁地址为江苏省苏州市苏州工业园双溇里 15号一层西侧车间，租期至 2025年 11月 19日止；"", ""source"": ""markdown_line"", ""pdf_page_number"": 85, ""pdf_page_source"": ""markdown_marker_inferred"", ""pdf_page_inference_reason"": ""between_ordered_markers""}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,12,,1380,"6）MOSO VIETNAM ELECTRONICS COMPANY LIMITED 与越南 KMW 责任有限公司签订租赁合同，租赁地址为 Lô C, Khucông nghiệp Đồng Văn 1, phường Yên Bắc, thị xã Duy Tiên, tỉnh Hà Nam，租期从 2024 年 11 月 20 日至 2029 年 11月 20日止；","{""line"": 1380, ""text"": ""6）MOSO VIETNAM ELECTRONICS COMPANY LIMITED 与越南 KMW 责任有限公司签订租赁合同，租赁地址为 Lô C, Khucông nghiệp Đồng Văn 1, phường Yên Bắc, thị xã Duy Tiên, tỉnh Hà Nam，租期从 2024 年 11 月 20 日至 2029 年 11月 20日止；"", ""source"": ""markdown_line"", ""pdf_page_number"": 85, ""pdf_page_source"": ""markdown_marker_inferred"", ""pdf_page_inference_reason"": ""between_ordered_markers""}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,11,,1379,5）MOSO VIETNAM ELECTRONICS COMPANY LIMITED 与越南善邻责任有限公司签订租赁合同：租赁地址为 Lot D4，ChauSon Industrial Park，Chau Son Ward，Phu Ly City，Ha Nam Province；租期从 2023 年 5 月 1 日至 2025 年 04 月 30日止；,"{""line"": 1379, ""text"": ""5）MOSO VIETNAM ELECTRONICS COMPANY LIMITED 与越南善邻责任有限公司签订租赁合同：租赁地址为 Lot D4，ChauSon Industrial Park，Chau Son Ward，Phu Ly City，Ha Nam Province；租期从 2023 年 5 月 1 日至 2025 年 04 月 30日止；"", ""source"": ""markdown_line"", ""pdf_page_number"": 85, ""pdf_page_source"": ""markdown_marker_inferred"", ""pdf_page_inference_reason"": ""between_ordered_markers""}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,36,,2929,1、主要税种及税率,"{""line"": 2929, ""text"": ""1、主要税种及税率"", ""source"": ""markdown_line"", ""pdf_page_number"": 148, ""pdf_page_source"": ""markdown_marker_inferred"", ""pdf_page_inference_reason"": ""between_ordered_markers""}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,10,,1378,4）茂硕电源科技股份有限公司上海分公司与上海翼源实业发展有限公司签订租赁合同，租赁地址为上海市青浦区徐泾镇华徐路 566号 8幢(徐龙路 77号)A电梯四楼 403室，租期从 2024年9 月08日到 2025年11月 21日止；,"{""line"": 1378, ""text"": ""4）茂硕电源科技股份有限公司上海分公司与上海翼源实业发展有限公司签订租赁合同，租赁地址为上海市青浦区徐泾镇华徐路 566号 8幢(徐龙路 77号)A电梯四楼 403室，租期从 2024年9 月08日到 2025年11月 21日止；"", ""source"": ""markdown_line"", ""pdf_page_number"": 85, ""pdf_page_source"": ""markdown_marker_inferred"", ""pdf_page_inference_reason"": ""between_ordered_markers""}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,9,,1377,3）茂硕电源科技股份有限公司上海分公司与上海氪垚科技有限责任公司签订租赁合同，租赁地址为上海虹桥新地中心 B303，租期从 2023 年 11 月 22 日至 2025 年 11 月 21 日止；,"{""line"": 1377, ""text"": ""3）茂硕电源科技股份有限公司上海分公司与上海氪垚科技有限责任公司签订租赁合同，租赁地址为上海虹桥新地中心 B303，租期从 2023 年 11 月 22 日至 2025 年 11 月 21 日止；"", ""source"": ""markdown_line"", ""pdf_page_number"": 85, ""pdf_page_source"": ""markdown_marker_inferred"", ""pdf_page_inference_reason"": ""between_ordered_markers""}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,8,,1376,2）茂硕电子科技有限公司与深圳市桑泰实业发展有限公司签订房屋租赁合同，租赁房屋地址为深圳市南山区西丽街道阳光社区松白路桑泰工业园 1栋宿舍楼一层 1-3号铺、5-13号铺，2栋宿舍楼一层 1号铺，租期从 2014年 3月 1日始至 2024 年 2 月 28 日止；,"{""line"": 1376, ""text"": ""2）茂硕电子科技有限公司与深圳市桑泰实业发展有限公司签订房屋租赁合同，租赁房屋地址为深圳市南山区西丽街道阳光社区松白路桑泰工业园 1栋宿舍楼一层 1-3号铺、5-13号铺，2栋宿舍楼一层 1号铺，租期从 2014年 3月 1日始至 2024 年 2 月 28 日止；"", ""source"": ""markdown_line"", ""pdf_page_number"": 85, ""pdf_page_source"": ""markdown_marker_inferred"", ""pdf_page_inference_reason"": ""between_ordered_markers""}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,7,,1375,1）茂硕电源科技股份有限公司与深圳市桑泰实业发展有限公司签订房屋租赁合同，租赁房屋地址为深圳市南山区西丽桑泰工业园厂房、1#2#3#宿舍楼，租期从 2014年 3月 1日始至 2024年 2月 28日止，于 2024年 1月 3日签订续租合同，租期从 2024年 3月 1日始至 2026年 2月 28日止；,"{""line"": 1375, ""text"": ""1）茂硕电源科技股份有限公司与深圳市桑泰实业发展有限公司签订房屋租赁合同，租赁房屋地址为深圳市南山区西丽桑泰工业园厂房、1#2#3#宿舍楼，租期从 2014年 3月 1日始至 2024年 2月 28日止，于 2024年 1月 3日签订续租合同，租期从 2024年 3月 1日始至 2026年 2月 28日止；"", ""source"": ""markdown_line"", ""pdf_page_number"": 85, ""pdf_page_source"": ""markdown_marker_inferred"", ""pdf_page_inference_reason"": ""between_ordered_markers""}",2026-05-16 03:50:36.522022+00
